"DateTime";"IPhone[en]"
"2008-12-09 00:00:00";7685
"2008-12-10 00:00:00";7254
"2008-12-11 00:00:00";7230
"2008-12-12 00:00:00";6572
"2008-12-13 00:00:00";6153
"2008-12-14 00:00:00";6945
"2008-12-15 00:00:00";7931
"2008-12-16 00:00:00";6698
"2008-12-17 00:00:00";7568
"2008-12-18 00:00:00";7219
"2008-12-19 00:00:00";6350
"2008-12-20 00:00:00";6154
"2008-12-21 00:00:00";6469
"2008-12-22 00:00:00";7204
"2008-12-23 00:00:00";6936
"2008-12-24 00:00:00";6566
"2008-12-25 00:00:00";6817
"2008-12-26 00:00:00";7331
"2008-12-27 00:00:00";7613
"2008-12-28 00:00:00";6267
"2008-12-29 00:00:00";7501
"2008-12-30 00:00:00";7055
"2008-12-31 00:00:00";6084
"2009-01-01 00:00:00";5109
"2009-01-02 00:00:00";6520
"2009-01-03 00:00:00";6085
"2009-01-04 00:00:00";5632
"2009-01-05 00:00:00";7050
"2009-01-06 00:00:00";7233
"2009-01-07 00:00:00";7012
"2009-01-08 00:00:00";6704
"2009-01-09 00:00:00";7182
"2009-01-10 00:00:00";5622
"2009-01-11 00:00:00";5385
"2009-01-12 00:00:00";7270
"2009-01-13 00:00:00";7022
"2009-01-14 00:00:00";6922
"2009-01-15 00:00:00";7524
"2009-01-16 00:00:00";6652
"2009-01-17 00:00:00";6330
"2009-01-18 00:00:00";6630
"2009-01-19 00:00:00";7618
"2009-01-20 00:00:00";6964
"2009-01-21 00:00:00";6450
"2009-01-22 00:00:00";7215
"2009-01-23 00:00:00";6525
"2009-01-24 00:00:00";6304
"2009-01-25 00:00:00";6351
"2009-01-26 00:00:00";6682
"2009-01-27 00:00:00";7835
"2009-01-28 00:00:00";7040
"2009-01-29 00:00:00";7633
"2009-01-30 00:00:00";6831
"2009-01-31 00:00:00";4934
"2009-02-01 00:00:00";6095
"2009-02-02 00:00:00";7182
"2009-02-03 00:00:00";7384
"2009-02-04 00:00:00";7302
"2009-02-05 00:00:00";7708
"2009-02-06 00:00:00";7334
"2009-02-07 00:00:00";6551
"2009-02-08 00:00:00";6927
"2009-02-09 00:00:00";7565
"2009-02-10 00:00:00";8019
"2009-02-11 00:00:00";7524
"2009-02-12 00:00:00";7150
"2009-02-13 00:00:00";6398
"2009-02-14 00:00:00";6162
"2009-02-15 00:00:00";6148
"2009-02-16 00:00:00";7573
"2009-02-17 00:00:00";8242
"2009-02-18 00:00:00";7154
"2009-02-19 00:00:00";7245
"2009-02-20 00:00:00";6812
"2009-02-21 00:00:00";6638
"2009-02-22 00:00:00";7153
"2009-02-23 00:00:00";7733
"2009-02-24 00:00:00";7457
"2009-02-25 00:00:00";7370
"2009-02-26 00:00:00";7197
"2009-02-27 00:00:00";7576
"2009-02-28 00:00:00";6125
"2009-03-01 00:00:00";7029
"2009-03-02 00:00:00";7352
"2009-03-03 00:00:00";9423
"2009-03-04 00:00:00";9144
"2009-03-05 00:00:00";7934
"2009-03-06 00:00:00";6496
"2009-03-07 00:00:00";7093
"2009-03-08 00:00:00";6743
"2009-03-09 00:00:00";7773
"2009-03-10 00:00:00";7410
"2009-03-11 00:00:00";7849
"2009-03-12 00:00:00";8481
"2009-03-13 00:00:00";7839
"2009-03-14 00:00:00";5809
"2009-03-15 00:00:00";7579
"2009-03-16 00:00:00";5645
"2009-03-17 00:00:00";10617
"2009-03-18 00:00:00";10589
"2009-03-19 00:00:00";8915
"2009-03-20 00:00:00";8648
"2009-03-21 00:00:00";7178
"2009-03-22 00:00:00";7565
"2009-03-23 00:00:00";8940
"2009-03-24 00:00:00";9021
"2009-03-25 00:00:00";8629
"2009-03-26 00:00:00";7790
"2009-03-27 00:00:00";8262
"2009-03-28 00:00:00";7307
"2009-03-29 00:00:00";7618
"2009-03-30 00:00:00";8731
"2009-03-31 00:00:00";8056
"2009-04-01 00:00:00";7773
"2009-04-02 00:00:00";8096
"2009-04-03 00:00:00";7460
"2009-04-04 00:00:00";7423
"2009-04-05 00:00:00";7222
"2009-04-06 00:00:00";8902
"2009-04-07 00:00:00";8697
"2009-04-08 00:00:00";8760
"2009-04-09 00:00:00";8192
"2009-04-10 00:00:00";7854
"2009-04-11 00:00:00";7138
"2009-04-12 00:00:00";7399
"2009-04-13 00:00:00";8497
"2009-04-14 00:00:00";9405
"2009-04-15 00:00:00";8630
"2009-04-16 00:00:00";8579
"2009-04-17 00:00:00";7721
"2009-04-18 00:00:00";7336
"2009-04-19 00:00:00";7466
"2009-04-20 00:00:00";7947
"2009-04-21 00:00:00";8383
"2009-04-22 00:00:00";8587
"2009-04-23 00:00:00";9473
"2009-04-24 00:00:00";8964
"2009-04-25 00:00:00";7248
"2009-04-26 00:00:00";7484
"2009-04-27 00:00:00";9248
"2009-04-28 00:00:00";9164
"2009-04-29 00:00:00";8210
"2009-04-30 00:00:00";8222
"2009-05-01 00:00:00";7799
"2009-05-02 00:00:00";6934
"2009-05-03 00:00:00";7681
"2009-05-04 00:00:00";8832
"2009-05-05 00:00:00";9792
"2009-05-06 00:00:00";8736
"2009-05-07 00:00:00";8387
"2009-05-08 00:00:00";7762
"2009-05-09 00:00:00";7267
"2009-05-10 00:00:00";7604
"2009-05-11 00:00:00";10200
"2009-05-12 00:00:00";10392
"2009-05-13 00:00:00";9569
"2009-05-14 00:00:00";8500
"2009-05-15 00:00:00";8812
"2009-05-16 00:00:00";7490
"2009-05-17 00:00:00";8328
"2009-05-18 00:00:00";9554
"2009-05-19 00:00:00";10314
"2009-05-20 00:00:00";9787
"2009-05-21 00:00:00";9300
"2009-05-22 00:00:00";8869
"2009-05-23 00:00:00";7216
"2009-05-24 00:00:00";7891
"2009-05-25 00:00:00";9108
"2009-05-26 00:00:00";10040
"2009-05-27 00:00:00";9604
"2009-05-28 00:00:00";14338
"2009-05-29 00:00:00";10732
"2009-05-30 00:00:00";7519
"2009-05-31 00:00:00";8419
"2009-06-01 00:00:00";10437
"2009-06-02 00:00:00";9816
"2009-06-03 00:00:00";9940
"2009-06-04 00:00:00";10166
"2009-06-05 00:00:00";9126
"2009-06-06 00:00:00";7556
"2009-06-07 00:00:00";9251
"2009-06-08 00:00:00";26387
"2009-06-09 00:00:00";31537
"2009-06-10 00:00:00";21324
"2009-06-11 00:00:00";16263
"2009-06-12 00:00:00";12932
"2009-06-13 00:00:00";9828
"2009-06-14 00:00:00";10195
"2009-06-15 00:00:00";13496
"2009-06-16 00:00:00";13271
"2009-06-17 00:00:00";18831
"2009-06-18 00:00:00";15742
"2009-06-19 00:00:00";15782
"2009-06-20 00:00:00";12956
"2009-06-21 00:00:00";10844
"2009-06-22 00:00:00";13600
"2009-06-23 00:00:00";11495
"2009-06-24 00:00:00";11744
"2009-06-25 00:00:00";10847
"2009-06-26 00:00:00";9169
"2009-06-27 00:00:00";7094
"2009-06-28 00:00:00";7911
"2009-06-29 00:00:00";9299
"2009-06-30 00:00:00";9572
"2009-07-01 00:00:00";9232
"2009-07-02 00:00:00";8613
"2009-07-03 00:00:00";7952
"2009-07-04 00:00:00";7318
"2009-07-05 00:00:00";7594
"2009-07-06 00:00:00";9583
"2009-07-07 00:00:00";9514
"2009-07-08 00:00:00";9130
"2009-07-09 00:00:00";8746
"2009-07-10 00:00:00";8193
"2009-07-11 00:00:00";6982
"2009-07-12 00:00:00";6697
"2009-07-13 00:00:00";9043
"2009-07-14 00:00:00";8939
"2009-07-15 00:00:00";8627
"2009-07-16 00:00:00";8195
"2009-07-17 00:00:00";7877
"2009-07-18 00:00:00";6871
"2009-07-19 00:00:00";7109
"2009-07-20 00:00:00";8361
"2009-07-21 00:00:00";9680
"2009-07-22 00:00:00";9350
"2009-07-23 00:00:00";8470
"2009-07-24 00:00:00";7959
"2009-07-25 00:00:00";6269
"2009-07-26 00:00:00";6850
"2009-07-27 00:00:00";8721
"2009-07-28 00:00:00";9058
"2009-07-29 00:00:00";8965
"2009-07-30 00:00:00";9261
"2009-07-31 00:00:00";8899
"2009-08-01 00:00:00";7247
"2009-08-02 00:00:00";7698
"2009-08-03 00:00:00";8315
"2009-08-04 00:00:00";8955
"2009-08-05 00:00:00";8351
"2009-08-06 00:00:00";7873
"2009-08-07 00:00:00";7692
"2009-08-08 00:00:00";6764
"2009-08-09 00:00:00";6899
"2009-08-10 00:00:00";8557
"2009-08-11 00:00:00";8288
"2009-08-12 00:00:00";8228
"2009-08-13 00:00:00";8993
"2009-08-14 00:00:00";7298
"2009-08-15 00:00:00";6797
"2009-08-16 00:00:00";6691
"2009-08-17 00:00:00";8835
"2009-08-18 00:00:00";9097
"2009-08-19 00:00:00";8662
"2009-08-20 00:00:00";8393
"2009-08-21 00:00:00";7977
"2009-08-22 00:00:00";6878
"2009-08-23 00:00:00";7322
"2009-08-24 00:00:00";8676
"2009-08-25 00:00:00";8497
"2009-08-26 00:00:00";8646
"2009-08-27 00:00:00";9021
"2009-08-28 00:00:00";8888
"2009-08-29 00:00:00";7426
"2009-08-30 00:00:00";7540
"2009-08-31 00:00:00";8992
"2009-09-01 00:00:00";8884
"2009-09-02 00:00:00";8958
"2009-09-03 00:00:00";8217
"2009-09-04 00:00:00";7722
"2009-09-05 00:00:00";6563
"2009-09-06 00:00:00";6843
"2009-09-07 00:00:00";8067
"2009-09-08 00:00:00";8636
"2009-09-09 00:00:00";10595
"2009-09-10 00:00:00";10178
"2009-09-11 00:00:00";8820
"2009-09-12 00:00:00";7408
"2009-09-13 00:00:00";8342
"2009-09-14 00:00:00";9048
"2009-09-15 00:00:00";8921
"2009-09-16 00:00:00";9044
"2009-09-17 00:00:00";8884
"2009-09-18 00:00:00";8244
"2009-09-19 00:00:00";7001
"2009-09-20 00:00:00";7471
"2009-09-21 00:00:00";4860
"2009-09-22 00:00:00";0
"2009-09-23 00:00:00";0
"2009-09-24 00:00:00";0
"2009-09-25 00:00:00";0
"2009-09-26 00:00:00";0
"2009-09-27 00:00:00";0
"2009-09-28 00:00:00";0
"2009-09-29 00:00:00";0
"2009-09-30 00:00:00";0
"2009-10-01 00:00:00";8003
"2009-10-02 00:00:00";7650
"2009-10-03 00:00:00";7039
"2009-10-04 00:00:00";7361
"2009-10-05 00:00:00";8500
"2009-10-06 00:00:00";8890
"2009-10-07 00:00:00";9025
"2009-10-08 00:00:00";9003
"2009-10-09 00:00:00";8032
"2009-10-10 00:00:00";7305
"2009-10-11 00:00:00";7883
"2009-10-12 00:00:00";9135
"2009-10-13 00:00:00";9304
"2009-10-14 00:00:00";8924
"2009-10-15 00:00:00";0
"2009-10-16 00:00:00";7336
"2009-10-17 00:00:00";6958
"2009-10-18 00:00:00";6927
"2009-10-19 00:00:00";8964
"2009-10-20 00:00:00";9513
"2009-10-21 00:00:00";8739
"2009-10-22 00:00:00";8886
"2009-10-23 00:00:00";8056
"2009-10-24 00:00:00";7231
"2009-10-25 00:00:00";7328
"2009-10-26 00:00:00";8792
"2009-10-27 00:00:00";8490
"2009-10-28 00:00:00";8675
"2009-10-29 00:00:00";7946
"2009-10-30 00:00:00";7446
"2009-10-31 00:00:00";6192
"2009-11-01 00:00:00";6603
"2009-11-02 00:00:00";8092
"2009-11-03 00:00:00";9469
"2009-11-04 00:00:00";9501
"2009-11-05 00:00:00";9070
"2009-11-06 00:00:00";8719
"2009-11-07 00:00:00";7367
"2009-11-08 00:00:00";7990
"2009-11-09 00:00:00";9557
"2009-11-10 00:00:00";9215
"2009-11-11 00:00:00";8627
"2009-11-12 00:00:00";8346
"2009-11-13 00:00:00";8576
"2009-11-14 00:00:00";7469
"2009-11-15 00:00:00";7778
"2009-11-16 00:00:00";8861
"2009-11-17 00:00:00";7178
"2009-11-18 00:00:00";7712
"2009-11-19 00:00:00";7496
"2009-11-20 00:00:00";8439
