"DateTime";"MacBook[en]"
"2009-10-09 00:00:00";1522
"2009-10-10 00:00:00";1271
"2009-10-11 00:00:00";1382
"2009-10-12 00:00:00";1560
"2009-10-13 00:00:00";1578
"2009-10-14 00:00:00";1597
"2009-10-15 00:00:00";0
"2009-10-16 00:00:00";1366
"2009-10-17 00:00:00";1300
"2009-10-18 00:00:00";1364
"2009-10-19 00:00:00";1639
"2009-10-20 00:00:00";2949
"2009-10-21 00:00:00";4004
"2009-10-22 00:00:00";3051
"2009-10-23 00:00:00";2492
"2009-10-24 00:00:00";2381
"2009-10-25 00:00:00";2231
"2009-10-26 00:00:00";2372
"2009-10-27 00:00:00";2386
"2009-10-28 00:00:00";2127
"2009-10-29 00:00:00";2056
"2009-10-30 00:00:00";1826
"2009-10-31 00:00:00";1588
"2009-11-01 00:00:00";1621
"2009-11-02 00:00:00";1892
"2009-11-03 00:00:00";2120
"2009-11-04 00:00:00";2063
"2009-11-05 00:00:00";2041
"2009-11-06 00:00:00";1969
"2009-11-07 00:00:00";1684
"2009-11-08 00:00:00";1834
"2009-11-09 00:00:00";2078
"2009-11-10 00:00:00";1994
"2009-11-11 00:00:00";1944
"2009-11-12 00:00:00";2040
"2009-11-13 00:00:00";1929
"2009-11-14 00:00:00";1738
"2009-11-15 00:00:00";1836
"2009-11-16 00:00:00";2022
"2009-11-17 00:00:00";1699
"2009-11-18 00:00:00";1838
"2009-11-19 00:00:00";1620
"2009-11-20 00:00:00";1737
"2009-11-21 00:00:00";1687
"2009-11-22 00:00:00";1195
"2009-11-23 00:00:00";1810
"2009-11-24 00:00:00";1818
"2009-11-25 00:00:00";1803
"2009-11-26 00:00:00";1947
"2009-11-27 00:00:00";2437
"2009-11-28 00:00:00";2217
"2009-11-29 00:00:00";1936
"2009-11-30 00:00:00";2098
"2009-12-01 00:00:00";2085
"2009-12-02 00:00:00";2059
"2009-12-03 00:00:00";1944
"2009-12-04 00:00:00";2037
"2009-12-05 00:00:00";2121
"2009-12-06 00:00:00";2129
"2009-12-07 00:00:00";2208
"2009-12-08 00:00:00";2260
"2009-12-09 00:00:00";2238
"2009-12-10 00:00:00";2125
"2009-12-11 00:00:00";1980
"2009-12-12 00:00:00";2154
"2009-12-13 00:00:00";2049
"2009-12-14 00:00:00";1849
"2009-12-15 00:00:00";1828
"2009-12-16 00:00:00";1835
"2009-12-17 00:00:00";1918
"2009-12-18 00:00:00";1931
"2009-12-19 00:00:00";1870
"2009-12-20 00:00:00";1818
"2009-12-21 00:00:00";1989
"2009-12-22 00:00:00";2005
"2009-12-23 00:00:00";1913
"2009-12-24 00:00:00";1686
"2009-12-25 00:00:00";1711
"2009-12-26 00:00:00";2064
"2009-12-27 00:00:00";2198
"2009-12-28 00:00:00";2379
"2009-12-29 00:00:00";2289
"2009-12-30 00:00:00";2074
"2009-12-31 00:00:00";1912
